Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,SEMILEITO PREMIUM,"R$209,38",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$438,68",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$358,68",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CONV. DD,"R$209,38",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$468,68",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,SEMILEITO PREMIUM,"R$269,08",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,R$,,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CONV. DD,"R$269,08",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,SEMILEITO PREMIUM,"R$269,08",,2025-07-24 19:46:37
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$468,68",,2025-07-24 19:46:37
