Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Distance,Duration,Timestamp_Scraped
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,448 km,08:20,2025-07-24 19:49:29
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$528,68",,448 km,08:20,2025-07-24 19:49:29
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,448 km,08:20,2025-07-24 19:49:30
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,SEMILEITO PREMIUM,"R$209,38",,448 km,08:20,2025-07-24 19:49:30
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$438,68",,448 km,08:20,2025-07-24 19:49:30
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$358,68",,448 km,08:20,2025-07-24 19:49:30
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CONV. DD,"R$209,38",,448 km,08:20,2025-07-24 19:49:31
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$468,68",,448 km,08:20,2025-07-24 19:49:31
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,SEMILEITO PREMIUM,"R$269,08",,448 km,08:20,2025-07-24 19:49:31
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,R$,,448 km,08:20,2025-07-24 19:49:32
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CONV. DD,"R$269,08",,448 km,08:20,2025-07-24 19:49:32
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,SEMILEITO PREMIUM,"R$269,08",,448 km,08:20,2025-07-24 19:49:32
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),26/07/2025,CAMA,"R$468,68",,448 km,08:20,2025-07-24 19:49:32
